Country,WorkExp,EdLevel,DevType,RemoteWork,Age,OrgSize,LanguageHaveWorkedWith,ConvertedCompYearly
Germany,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Project manager,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"10,000 or more employees",HTML/CSS;JavaScript;PHP;SQL;Swift;TypeScript,116015.0
Germany,13.0,Some college/university study without earning a degree,"Developer, full-stack",Remote,35-44 years old,100 to 499 employees,Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;SQL,87011.0
United Kingdom of Great Britain and Northern Ireland,22.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",Remote,35-44 years old,"1,000 to 4,999 employees",HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,99383.0
Germany,30.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);JavaScript;PowerShell;Python;SQL;TypeScript,116015.0
United States of America,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"1,000 to 4,999 employees",C;C#;HTML/CSS;JavaScript;PowerShell;SQL,94000.0
France,16.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,"Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"10,000 or more employees",Bash/Shell (all shells);Go;HTML/CSS;Rust;TypeScript,149659.0
Brazil,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Lua;PHP;Python,101941.0
Germany,3.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,20 to 99 employees,SQL,75410.0
United States of America,11.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,Remote,25-34 years old,Less than 20 employees,Bash/Shell (all shells);JavaScript;Python;SQL,144000.0
United States of America,25.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",Remote,45-54 years old,500 to 999 employees,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),140000.0
United States of America,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile",Remote,25-34 years old,100 to 499 employees,JavaScript;Kotlin;Swift,145000.0
Germany,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Database administrator or engineer,"Hybrid (some in-person, leans heavy to flexibility)",18-24 years old,"10,000 or more employees",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,58007.0
Côte d'Ivoire,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,In-person,25-34 years old,20 to 99 employees,Dart;JavaScript;PHP;Python;SQL,33966.0
Germany,10.0,Some college/university study without earning a degree,DevOps engineer or professional,Remote,25-34 years old,500 to 999 employees,Bash/Shell (all shells);Zig,110214.0
United Kingdom of Great Britain and Northern Ireland,14.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,20 to 99 employees,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,245055.0
Ukraine,4.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices",Remote,25-34 years old,Less than 20 employees,Bash/Shell (all shells);C;C++;PowerShell;Python,28759.0
France,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,Less than 20 employees,Bash/Shell (all shells);C#;JavaScript;SQL;TypeScript,48726.0
Croatia,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,20 to 99 employees,Dart;Go;HTML/CSS;JavaScript;Lua;Rust;TypeScript,41765.0
Norway,11.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,35-44 years old,500 to 999 employees,C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;TypeScript,84003.0
United States of America,39.0,Some college/university study without earning a degree,"Architect, software or solutions","Hybrid (some remote, leans heavy to in-person)",55-64 years old,"10,000 or more employees",Bash/Shell (all shells);Java;JavaScript;PowerShell;TypeScript,159000.0
Germany,15.0,Some college/university study without earning a degree,"Architect, software or solutions",Remote,35-44 years old,"10,000 or more employees",Java;SQL,104413.0
Germany,28.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,20 to 99 employees,Delphi;HTML/CSS;SQL,27844.0
Czech Republic,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Groovy;Kotlin;Python;Ruby;SQL;Swift;TypeScript,112334.0
United Kingdom of Great Britain and Northern Ireland,35.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,55-64 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,62625.0
Cuba,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,Less than 20 employees,C#;HTML/CSS;JavaScript;SQL;TypeScript,7200.0
Czech Republic,22.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;MicroPython;PHP;Python;SQL;TypeScript;VBA,39785.0
United States of America,25.0,Some college/university study without earning a degree,Cloud infrastructure engineer,Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);Go;HTML/CSS,225000.0
Czech Republic,8.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,56167.0
United States of America,23.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,45-54 years old,"10,000 or more employees",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;TypeScript,160000.0
Cuba,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,500 to 999 employees,Python;SQL,21000.0
United States of America,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,Less than 20 employees,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Lua;PHP;PowerShell;Python;Ruby;Rust;SQL;TypeScript;Zig,175000.0
Canada,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,20 to 99 employees,Assembly;Bash/Shell (all shells);C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Lisp;Lua;PowerShell;Prolog;Python;Rust;SQL;TypeScript,51071.0
Canada,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"5,000 to 9,999 employees",HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,72958.0
Germany,4.0,Some college/university study without earning a degree,"Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"10,000 or more employees",Go;HTML/CSS;Java;JavaScript;TypeScript,87011.0
Ukraine,9.0,Some college/university study without earning a degree,Engineering manager,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,500 to 999 employees,Go;SQL,93000.0
Brazil,2.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",In-person,18-24 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,10922.0
"Venezuela, Bolivarian Republic of...",17.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Project manager,"Hybrid (some remote, leans heavy to in-person)",35-44 years old,20 to 99 employees,JavaScript;PHP;Python;SQL,9000.0
Czech Republic,10.0,Some college/university study without earning a degree,"Developer, full-stack",In-person,25-34 years old,Less than 20 employees,C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;SQL;TypeScript,40253.0
Italy,25.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Architect, software or solutions","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,"10,000 or more employees",Bash/Shell (all shells);Python;SQL,81210.0
Sweden,29.0,Some college/university study without earning a degree,"Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,20 to 99 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;Swift;TypeScript,50314.0
United States of America,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,In-person,25-34 years old,20 to 99 employees,Bash/Shell (all shells);C#;Java;JavaScript;Python;SQL,110000.0
Italy,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,Remote,25-34 years old,20 to 99 employees,HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA,10557.0
Sweden,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,75472.0
United Kingdom of Great Britain and Northern Ireland,21.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,Remote,35-44 years old,"5,000 to 9,999 employees",Go;JavaScript,204212.0
United States of America,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,500 to 999 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;Python;Ruby;SQL,105000.0
United States of America,38.0,Other (please specify):,"Developer, full-stack",Remote,55-64 years old,100 to 499 employees,Bash/Shell (all shells);C++;Groovy;HTML/CSS;Java;JavaScript;Scala;SQL;Swift;TypeScript,190000.0
United States of America,1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",18-24 years old,"10,000 or more employees",HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,110000.0
United States of America,27.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist,Remote,45-54 years old,100 to 499 employees,HTML/CSS;Python,190000.0
United States of America,1.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",In-person,18-24 years old,500 to 999 employees,C#;GDScript;HTML/CSS;JavaScript;Lua;PHP;SQL;Visual Basic (.Net),43797.0
Netherlands,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,Less than 20 employees,GDScript;HTML/CSS;JavaScript;Python;Rust;TypeScript,58471.0
United States of America,9.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data scientist,"Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"1,000 to 4,999 employees",Python;R;SQL;VBA,120000.0
United States of America,15.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",35-44 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,120000.0
United States of America,22.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications","Hybrid (some remote, leans heavy to in-person)",45-54 years old,"5,000 to 9,999 employees",C;C#;C++,255000.0
United Kingdom of Great Britain and Northern Ireland,28.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,68071.0
United States of America,22.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,Remote,45-54 years old,20 to 99 employees,C#;JavaScript;PowerShell;R;SQL,116000.0
United States of America,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Architect, software or solutions",Remote,25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;SQL;TypeScript,175000.0
Germany,14.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,Less than 20 employees,C;C++;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript,64040.0
Kenya,6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,100 to 499 employees,C#;HTML/CSS;JavaScript;SQL,15480.0
United States of America,19.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",Remote,35-44 years old,Less than 20 employees,HTML/CSS;Python;Rust;SQL;TypeScript,270000.0
United States of America,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",18-24 years old,"10,000 or more employees",Bash/Shell (all shells);C;Go;Java;Python;Rust;SQL;Swift,160973.0
New Zealand,23.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,20 to 99 employees,Elixir;HTML/CSS;JavaScript;Lua;Ruby,132518.0
New Zealand,19.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,72282.0
United States of America,11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Cloud infrastructure engineer,Remote,35-44 years old,100 to 499 employees,Bash/Shell (all shells);C#;Elixir;Erlang;HTML/CSS;JavaScript;Python;Gleam,196000.0
Australia,12.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, mobile","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,100 to 499 employees,Bash/Shell (all shells);JavaScript;Kotlin;Rust;Swift;TypeScript,143021.0
United States of America,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",18-24 years old,"1,000 to 4,999 employees",C#;HTML/CSS;JavaScript;Rust;SQL;TypeScript,82000.0
Australia,27.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,20 to 99 employees,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,195028.0
United Kingdom of Great Britain and Northern Ireland,12.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,35-44 years old,20 to 99 employees,C#;HTML/CSS;JavaScript;PowerShell;SQL,176984.0
United States of America,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"10,000 or more employees",C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,150000.0
United Kingdom of Great Britain and Northern Ireland,22.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some remote, leans heavy to in-person)",45-54 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Go;Python;Ruby;SQL,204212.0
United States of America,21.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,20 to 99 employees,Bash/Shell (all shells);C;C++;HTML/CSS;Python,175000.0
Australia,11.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,500 to 999 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,97514.0
United States of America,21.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",45-54 years old,100 to 499 employees,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Lua;MicroPython;PowerShell;Python;Rust;SQL;TypeScript,130000.0
Spain,25.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Other (please specify):,In-person,45-54 years old,Less than 20 employees,HTML/CSS;JavaScript;PHP;Python;SQL,9861.0
Poland,12.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C;C++;GDScript;Lua;Python,90057.0
United Kingdom of Great Britain and Northern Ireland,30.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack","Hybrid (some remote, leans heavy to in-person)",55-64 years old,20 to 99 employees,Bash/Shell (all shells);C;C#;HTML/CSS;SQL;TypeScript,95299.0
Canada,10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, game or graphics","Your choice (very flexible, you can come in when you want or just as needed)",25-34 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,76387.0
United States of America,21.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,Remote,45-54 years old,"10,000 or more employees",Python;SQL,180000.0
Australia,31.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",45-54 years old,100 to 499 employees,C#;HTML/CSS;JavaScript;PowerShell;SQL,134374.0
"Venezuela, Bolivarian Republic of...",11.0,Some college/university study without earning a degree,"Developer, back-end",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);Go;SQL;TypeScript,21000.0
Spain,18.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,500 to 999 employees,Bash/Shell (all shells);C#;Dart;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,81210.0
United States of America,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",Remote,35-44 years old,100 to 499 employees,JavaScript;Python,180000.0
United States of America,22.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,35-44 years old,Less than 20 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net),250000.0
United States of America,13.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,35-44 years old,500 to 999 employees,Bash/Shell (all shells);C++;Elixir;HTML/CSS;Lua;Ruby;Rust;SQL;TypeScript,178000.0
Australia,19.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"1,000 to 4,999 employees",Go;TypeScript,107265.0
Australia,15.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"1,000 to 4,999 employees",Go;Kotlin;Python;Ruby;Swift,110516.0
United States of America,37.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,55-64 years old,Less than 20 employees,Bash/Shell (all shells);Elixir;Ruby;SQL,250000.0
United Kingdom of Great Britain and Northern Ireland,5.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,100 to 499 employees,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Python;TypeScript,81685.0
United States of America,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,Remote,25-34 years old,"1,000 to 4,999 employees",JavaScript;Python;SQL,93000.0
United States of America,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",In-person,25-34 years old,20 to 99 employees,Bash/Shell (all shells);C;C++;Python,140000.0
United States of America,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications","Hybrid (some remote, leans heavy to in-person)",25-34 years old,"5,000 to 9,999 employees",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,120000.0
United States of America,8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",Remote,25-34 years old,"1,000 to 4,999 employees",HTML/CSS;Java;JavaScript;Kotlin;Scala;TypeScript,250000.0
United States of America,30.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, mobile","Hybrid (some in-person, leans heavy to flexibility)",45-54 years old,100 to 499 employees,Kotlin,240000.0
United States of America,35.0,Some college/university study without earning a degree,DevOps engineer or professional,Remote,55-64 years old,"10,000 or more employees",Bash/Shell (all shells);C#;Dart;JavaScript;PowerShell,155000.0
Ukraine,5.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, AI apps or physical AI",Remote,25-34 years old,20 to 99 employees,C;C#;C++;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,48000.0
Romania,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, game or graphics",Remote,25-34 years old,20 to 99 employees,Ada;C;C++;HTML/CSS;Java;JavaScript,100000.0
Portugal,14.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Data engineer,Remote,35-44 years old,"10,000 or more employees",HTML/CSS;JavaScript;PowerShell;Python;SQL,290037.0
Jamaica,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,20 to 99 employees,C#;Go;JavaScript,62180.0
United States of America,1.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",In-person,18-24 years old,Less than 20 employees,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Lua;Python;TypeScript,51000.0
United States of America,15.0,Some college/university study without earning a degree,"Developer, back-end",Remote,35-44 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,194000.0
Canada,18.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,Less than 20 employees,Bash/Shell (all shells);C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Lisp;PHP;Python;Ruby;Rust;SQL;Swift;TypeScript,87550.0
New Zealand,26.0,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,"Hybrid (some in-person, leans heavy to flexibility)",55-64 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C++;HTML/CSS;MicroPython;Python;TypeScript,81318.0
United States of America,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",In-person,18-24 years old,"10,000 or more employees",C;C++;Python,82000.0
Italy,5.0,Some college/university study without earning a degree,"Developer, desktop or enterprise applications","Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,"10,000 or more employees",Bash/Shell (all shells);C#;Java;JavaScript;PowerShell;Python;SQL,31324.0
Australia,34.0,"Associate degree (A.A., A.S., etc.)",Other (please specify):,In-person,45-54 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C;C++;Python;Rust;SQL;VBA,117017.0
Germany,34.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Architect, software or solutions",Remote,55-64 years old,20 to 99 employees,Bash/Shell (all shells);C;C++;Delphi;Go;Perl;Python;R;SQL,83531.0
United States of America,31.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,45-54 years old,20 to 99 employees,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Lisp;Ruby;SQL;Swift;TypeScript,18900.0
Australia,2.0,Some college/university study without earning a degree,"Architect, software or solutions","Hybrid (some in-person, leans heavy to flexibility)",18-24 years old,500 to 999 employees,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust;Zig,53633.0
Colombia,7.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",Remote,25-34 years old,100 to 499 employees,HTML/CSS;JavaScript,60000.0
Ukraine,13.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end",Remote,35-44 years old,Less than 20 employees,HTML/CSS;JavaScript;PHP;SQL,71899.0
United States of America,9.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Data engineer,Remote,35-44 years old,"10,000 or more employees",Bash/Shell (all shells);Python;SQL,200000.0
Australia,6.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",In-person,35-44 years old,Less than 20 employees,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,71510.0
United States of America,8.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",Remote,25-34 years old,Less than 20 employees,Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Delphi;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;MicroPython;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Mojo;Gleam,75000.0
United States of America,10.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end",Remote,35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,192000.0
United States of America,24.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",Remote,45-54 years old,100 to 499 employees,C#;C++;HTML/CSS;JavaScript;PowerShell,100000.0
Australia,23.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Your choice (very flexible, you can come in when you want or just as needed)",35-44 years old,"1,000 to 4,999 employees",C#;JavaScript;PowerShell;Python;Scala;SQL;TypeScript,148221.0
Australia,2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",25-34 years old,Less than 20 employees,C;C#;C++;Lua;Perl;PowerShell;Python;SQL,42256.0
United States of America,4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Your choice (very flexible, you can come in when you want or just as needed)",18-24 years old,100 to 499 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;SQL;TypeScript,7200.0
United States of America,30.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Senior executive (C-suite, VP, etc.)",Remote,45-54 years old,20 to 99 employees,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript,250000.0
France,15.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Hybrid (some in-person, leans heavy to flexibility)",35-44 years old,"1,000 to 4,999 employees",Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;Scala;SQL;TypeScript,116015.0
